data,temp,pH,turbidez,fosforo,N2amonia,N2k,nitrato,nitrito,dbo,ppt,od
11/05/2004,21.6,7.1,19,0.062,0.63,0.68,2,0.213,7,0,5.2
20/07/2004,17.8,6.9,170,0.339,0.85,1,1.2,0.065,20,33.9,6.1
27/09/2004,26.9,7.3,5,0.628,2.8,3,0.93,0.203,5,0,1.2
23/11/2004,25.4,7.2,29,0.1,0.3,0.9,1.8,0.14,6,0,4.2
11/01/2005,27.1,7.1,60,0.3,0.2,0.7,1.1,0.14,12,28.8,4.8
15/03/2005,27.1,6.9,68,0.5,1,1,1,0.2,14,36.3,2.2
10/05/2005,23.1,7,10,0.4,0.9,1,2,0.3,7,0,4.1
19/07/2005,18.6,7,7.4,0.4,1,1,2,0.2,6,0,3.1
26/09/2005,22.2,7.3,6.3,0.3,2,3,0.6,0.2,6,6.1,2
22/11/2005,25.3,7.2,20,0.9,2,3,1,0.3,7,28,1.8
23/01/2006,29.9,7.1,14,0.3,0.7,0.8,1,0.3,7,0,2.7
14/03/2006,26.1,7.2,37,0.27,0.56,1.15,1.27,0.13,5,0,4.7
09/05/2006,21.3,7.2,8.5,0.13,0.97,1.43,1.39,0.32,5,0,4.4
24/07/2006,21,7.1,8.5,0.4,2,2,2,0.3,7,0,3.1
26/09/2006,23.8,7.1,12,0.4,1,2,1,0.4,6,0,1.3
21/11/2006,25.9,7.2,32,0.6,1,1,0.7,0.1,6,2.8,0.4
09/01/2007,26.1,7.1,191,0.13,0.18,0.56,0.78,0.09,5,1.8,5.8
13/03/2007,27.1,7.1,41.1,0.17,1.09,1.28,0.89,0.27,7,0.9,3.1
08/05/2007,22.6,7.2,11,0.3,0.8,0.9,2,0.4,7,6.8,2.8
18/07/2007,18.2,6.8,118,0.7,2,3,1,0.1,19,36.4,4.1
26/09/2007,20.2,7.4,6.17,0.8,2,2,1,0.2,7,0,1.4
28/11/2007,25.1,7.2,18.7,0.5,1,1,2.1,2,8,0,2.9
29/01/2008,23,7,175,0.5,0.2,0.2,2,0.1,3,72,5.1
11/03/2008,26,7,38.1,0.4,1,1,7.1,0.3,7,0.6,2.4
06/05/2008,21.3,6.8,80,0.3,0.05,0.05,6.8,0.09,5,0,6.9
16/07/2008,21.4,7,11.7,0.5,1,1,1.8,0.2,6,0,4.5
24/09/2008,20.1,7.2,9.6,0.4,2,2,1.9,0.2,6,0,3.3
26/11/2008,26.9,7,21.8,0.27,2.12,2.72,1.35,0.28,6,4.8,2.6
07/01/2009,24.7,7.1,200,1,0.5,0.5,1.1,0.1,9,0,5.6
03/03/2009,29,6.9,79.6,0.7,0.7,0.7,1.6,0.1,5,0,4.6
19/05/2009,21.3,7.2,19.1,1,2,2,0.3,0.3,7,0,4.8
29/07/2009,21.4,7.1,42,0.8,1,1,2,0.2,8,0.5,5
29/09/2009,24.2,7.1,62.2,0.8,1,2,1,0.3,9,10.2,2.6
17/11/2009,28.6,7,230,4,0.7,0.8,1,0.3,8,0,4.1
25/01/2010,27.3,6.9,245,0.4,0.3,0.4,0.5,0.04,6,7.9,6.3
02/03/2010,24,6.7,84.9,0.2,0.2,0.5,0.6,0.1,3,0.8,6.5
18/05/2010,21.8,6.9,17.7,0.3,0.8,1,2,0.2,5,0,4.9
15/07/2010,19.6,7.1,104,0.7,2,2,0.8,0.1,17,21.7,5.3
28/09/2010,22.5,7,38.9,0.6,2,3,0.77,0.4,12,7.7,2.4
16/11/2010,24.8,6.8,9.34,0.4,2,2,1.08,0.46,8,8.9,1.7
24/01/2011,26.9,7.1,190,0.05,0.3,1,0.67,0.06,3,2,5.9
01/03/2011,24.9,6.9,368,0.2,0.6,2,0.7,0.09,10,24,5.8
18/05/2011,17.9,7.3,14.4,0.2,1,2,1.3,0.25,6,0,5.3
19/07/2011,22.7,7.3,10.8,0.248,2,2,1.15,0.22,6,0,4.7
28/09/2011,22.3,7.2,6.43,0.414,2,2,1.22,0.27,8,0,2.2
16/11/2011,22.4,6.8,938,0.076,0.4,2,0.95,0.05,14,4.8,5.7
09/01/2012,24.4,7,400,0.007,0.5,1,0.87,0.12,9,25.1,6.6
13/03/2012,25,7.1,49.5,0.007,0.5,0.8,1.34,0.3,7,0.7,5.5
30/05/2012,22.3,7.2,15.7,0.062,1,1,1.41,0.22,7,0,5.8
17/07/2012,18.3,7.1,16.2,0.165,1,1,1.4,0.2,7,13.2,6.9
05/09/2012,23.6,7.1,8.95,0.338,2,3,1.16,0.22,9,0,4.8
21/11/2012,27.3,7,48.8,0.392,2,3,1.16,0.31,9,3.4,3.7
